# OpenSignals Text File Format. Version 1
# {"98:D3:11:FE:05:A2": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:11:FE:05:A2", "device connection": "BTH98:D3:11:FE:05:A2", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-6-26", "time": "15:41:52.754", "channels": [1, 2], "sensor": ["EMGBITREV", "EMGBITREV"], "label": ["A1", "A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2"], "special": [{}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	515	507	
1	0	0	0	0	512	512	
2	0	0	0	0	510	517	
3	0	0	0	0	511	514	
4	0	0	0	0	509	513	
5	0	0	0	0	509	511	
6	0	0	0	0	509	512	
7	0	0	0	0	512	513	
8	0	0	0	0	515	508	
9	0	0	0	0	511	504	
10	0	0	0	0	512	507	
11	0	0	0	0	511	511	
12	0	0	0	0	510	512	
13	0	0	0	0	511	511	
14	0	0	0	0	515	510	
15	0	0	0	0	519	507	
0	0	0	0	0	513	509	
1	0	0	0	0	509	509	
2	0	0	0	0	505	511	
3	0	0	0	0	504	511	
4	0	0	0	0	499	514	
5	0	0	0	0	498	514	
6	0	0	0	0	506	509	
7	0	0	0	0	509	514	
8	0	0	0	0	505	515	
9	0	0	0	0	504	514	
10	0	0	0	0	510	516	
11	0	0	0	0	515	516	
12	0	0	0	0	515	512	
13	0	0	0	0	516	504	
14	0	0	0	0	515	502	
15	0	0	0	0	515	508	
0	0	0	0	0	514	512	
1	0	0	0	0	512	509	
2	0	0	0	0	513	505	
3	0	0	0	0	516	504	
4	0	0	0	0	517	502	
5	0	0	0	0	515	498	
6	0	0	0	0	517	512	
7	0	0	0	0	513	515	
8	0	0	0	0	512	510	
9	0	0	0	0	507	511	
10	0	0	0	0	508	516	
11	0	0	0	0	508	519	
12	0	0	0	0	508	515	
13	0	0	0	0	505	512	
14	0	0	0	0	507	511	
15	0	0	0	0	508	511	
0	0	0	0	0	508	512	
1	0	0	0	0	505	514	
2	0	0	0	0	506	515	
3	0	0	0	0	510	514	
4	0	0	0	0	512	512	
5	0	0	0	0	513	513	
6	0	0	0	0	512	508	
7	0	0	0	0	512	507	
8	0	0	0	0	512	510	
9	0	0	0	0	512	504	
10	0	0	0	0	515	505	
11	0	0	0	0	511	506	
12	0	0	0	0	511	505	
13	0	0	0	0	511	507	
14	0	0	0	0	510	505	
15	0	0	0	0	509	507	
0	0	0	0	0	511	508	
1	0	0	0	0	512	510	
2	0	0	0	0	511	513	
3	0	0	0	0	510	507	
4	0	0	0	0	511	507	
5	0	0	0	0	511	507	
6	0	0	0	0	513	504	
7	0	0	0	0	510	502	
8	0	0	0	0	508	504	
9	0	0	0	0	508	506	
10	0	0	0	0	512	515	
11	0	0	0	0	514	515	
12	0	0	0	0	513	514	
13	0	0	0	0	512	512	
14	0	0	0	0	512	515	
15	0	0	0	0	513	514	
0	0	0	0	0	512	515	
1	0	0	0	0	511	516	
2	0	0	0	0	511	512	
3	0	0	0	0	509	505	
4	0	0	0	0	508	509	
5	0	0	0	0	510	517	
6	0	0	0	0	512	521	
7	0	0	0	0	511	515	
8	0	0	0	0	513	508	
9	0	0	0	0	512	506	
10	0	0	0	0	513	499	
11	0	0	0	0	513	498	
12	0	0	0	0	511	505	
13	0	0	0	0	508	512	
14	0	0	0	0	507	517	
15	0	0	0	0	513	516	
0	0	0	0	0	518	517	
1	0	0	0	0	518	524	
2	0	0	0	0	518	520	
3	0	0	0	0	512	516	
4	0	0	0	0	508	511	
5	0	0	0	0	503	504	
6	0	0	0	0	494	502	
7	0	0	0	0	499	505	
8	0	0	0	0	504	505	
9	0	0	0	0	507	502	
10	0	0	0	0	511	503	
11	0	0	0	0	515	502	
12	0	0	0	0	513	507	
13	0	0	0	0	515	514	
14	0	0	0	0	514	515	
15	0	0	0	0	511	516	
0	0	0	0	0	512	520	
1	0	0	0	0	510	522	
2	0	0	0	0	507	519	
3	0	0	0	0	508	519	
4	0	0	0	0	508	517	
5	0	0	0	0	514	510	
6	0	0	0	0	518	504	
7	0	0	0	0	516	503	
8	0	0	0	0	514	508	
9	0	0	0	0	510	508	
10	0	0	0	0	508	508	
11	0	0	0	0	505	513	
12	0	0	0	0	505	514	
13	0	0	0	0	504	513	
14	0	0	0	0	508	505	
15	0	0	0	0	512	499	
0	0	0	0	0	517	502	
1	0	0	0	0	513	511	
2	0	0	0	0	512	516	
3	0	0	0	0	510	512	
4	0	0	0	0	509	509	
5	0	0	0	0	507	507	
6	0	0	0	0	511	509	
7	0	0	0	0	511	509	
8	0	0	0	0	515	507	
9	0	0	0	0	519	508	
10	0	0	0	0	518	508	
11	0	0	0	0	516	512	
12	0	0	0	0	515	509	
13	0	0	0	0	512	509	
14	0	0	0	0	512	513	
15	0	0	0	0	508	517	
0	0	0	0	0	505	515	
1	0	0	0	0	505	515	
2	0	0	0	0	508	515	
3	0	0	0	0	513	510	
4	0	0	0	0	511	507	
5	0	0	0	0	511	513	
6	0	0	0	0	515	514	
7	0	0	0	0	514	509	
8	0	0	0	0	513	507	
9	0	0	0	0	511	509	
10	0	0	0	0	510	510	
11	0	0	0	0	507	508	
12	0	0	0	0	506	504	
13	0	0	0	0	505	506	
14	0	0	0	0	504	513	
15	0	0	0	0	505	513	
0	0	0	0	0	505	521	
1	0	0	0	0	508	521	
2	0	0	0	0	508	518	
3	0	0	0	0	509	506	
4	0	0	0	0	513	506	
5	0	0	0	0	517	509	
6	0	0	0	0	519	511	
7	0	0	0	0	519	508	
8	0	0	0	0	516	508	
9	0	0	0	0	514	507	
10	0	0	0	0	510	506	
11	0	0	0	0	511	504	
12	0	0	0	0	511	511	
13	0	0	0	0	509	510	
14	0	0	0	0	510	504	
15	0	0	0	0	511	503	
0	0	0	0	0	512	509	
1	0	0	0	0	506	511	
2	0	0	0	0	508	517	
3	0	0	0	0	511	518	
4	0	0	0	0	509	519	
5	0	0	0	0	509	518	
6	0	0	0	0	508	515	
7	0	0	0	0	511	510	
8	0	0	0	0	512	504	
9	0	0	0	0	511	495	
10	0	0	0	0	512	499	
11	0	0	0	0	511	507	
12	0	0	0	0	508	514	
13	0	0	0	0	509	517	
14	0	0	0	0	507	518	
15	0	0	0	0	504	516	
0	0	0	0	0	511	517	
1	0	0	0	0	514	514	
2	0	0	0	0	513	516	
3	0	0	0	0	512	515	
4	0	0	0	0	511	510	
5	0	0	0	0	511	504	
6	0	0	0	0	513	504	
7	0	0	0	0	513	506	
8	0	0	0	0	514	504	
