# OpenSignals Text File Format. Version 1
# {"98:D3:11:FE:05:A2": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:11:FE:05:A2", "device connection": "BTH98:D3:11:FE:05:A2", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-6-12", "time": "15:28:45.712", "channels": [1, 2], "sensor": ["EMGBITREV", "EMGBITREV"], "label": ["A1", "A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2"], "special": [{}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	506	507
1	0	0	0	0	507	508
2	0	0	0	0	507	507
3	0	0	0	0	508	503
4	0	0	0	0	508	503
5	0	0	0	0	508	503
6	0	0	0	0	506	501
7	0	0	0	0	507	505
8	0	0	0	0	506	507
9	0	0	0	0	509	507
10	0	0	0	0	508	511
11	0	0	0	0	505	512
12	0	0	0	0	505	512
13	0	0	0	0	507	509
14	0	0	0	0	508	505
15	0	0	0	0	506	503
0	0	0	0	0	504	501
1	0	0	0	0	507	503
2	0	0	0	0	504	504
3	0	0	0	0	503	508
4	0	0	0	0	504	511
5	0	0	0	0	507	512
6	0	0	0	0	508	514
7	0	0	0	0	508	514
8	0	0	0	0	507	513
9	0	0	0	0	510	510
10	0	0	0	0	508	504
11	0	0	0	0	510	499
12	0	0	0	0	507	499
13	0	0	0	0	509	495
14	0	0	0	0	509	497
15	0	0	0	0	506	500
0	0	0	0	0	507	505
1	0	0	0	0	505	511
2	0	0	0	0	507	511
3	0	0	0	0	505	511
4	0	0	0	0	506	513
5	0	0	0	0	504	512
6	0	0	0	0	505	510
7	0	0	0	0	506	504
8	0	0	0	0	506	501
9	0	0	0	0	510	501
10	0	0	0	0	509	505
11	0	0	0	0	507	508
12	0	0	0	0	511	511
13	0	0	0	0	512	512
14	0	0	0	0	513	511
15	0	0	0	0	513	510
0	0	0	0	0	512	505
1	0	0	0	0	509	502
2	0	0	0	0	506	500
3	0	0	0	0	506	504
4	0	0	0	0	506	506
5	0	0	0	0	503	507
6	0	0	0	0	504	505
7	0	0	0	0	502	501
8	0	0	0	0	506	499
9	0	0	0	0	504	498
10	0	0	0	0	504	500
11	0	0	0	0	503	505
12	0	0	0	0	504	509
13	0	0	0	0	506	508
14	0	0	0	0	506	508
15	0	0	0	0	507	511
0	0	0	0	0	506	511
1	0	0	0	0	507	512
2	0	0	0	0	505	511
3	0	0	0	0	504	519
4	0	0	0	0	506	523
5	0	0	0	0	508	519
6	0	0	0	0	507	513
7	0	0	0	0	508	509
8	0	0	0	0	508	502
9	0	0	0	0	504	496
10	0	0	0	0	504	491
11	0	0	0	0	505	498
12	0	0	0	0	506	500
13	0	0	0	0	505	506
14	0	0	0	0	509	511
15	0	0	0	0	511	512
0	0	0	0	0	510	520
1	0	0	0	0	507	527
2	0	0	0	0	509	523
3	0	0	0	0	509	515
4	0	0	0	0	509	513
5	0	0	0	0	508	506
6	0	0	0	0	508	501
7	0	0	0	0	506	497
8	0	0	0	0	506	503
9	0	0	0	0	504	509
10	0	0	0	0	506	510
11	0	0	0	0	505	511
12	0	0	0	0	505	516
13	0	0	0	0	506	515
14	0	0	0	0	510	508
15	0	0	0	0	508	499
0	0	0	0	0	507	489
1	0	0	0	0	507	487
2	0	0	0	0	509	479
3	0	0	0	0	508	481
4	0	0	0	0	505	486
5	0	0	0	0	507	494
6	0	0	0	0	506	505
7	0	0	0	0	507	511
8	0	0	0	0	508	513
9	0	0	0	0	509	519
10	0	0	0	0	508	517
11	0	0	0	0	511	516
12	0	0	0	0	511	508
13	0	0	0	0	509	505
14	0	0	0	0	508	504
15	0	0	0	0	506	508
0	0	0	0	0	510	508
1	0	0	0	0	506	507
2	0	0	0	0	506	510
3	0	0	0	0	505	510
4	0	0	0	0	505	513
5	0	0	0	0	505	515
6	0	0	0	0	502	512
7	0	0	0	0	502	510
8	0	0	0	0	502	508
